MUDFlow,Using_Devices
ipv4-6-443,'amazonEcho' | 'awairAirQuality' | 'pixstarphotoframe' | 'ringdoorbell' | 'tplinkcamera' | 'tribyspeaker' | 'withingssleepsensor'
ipv4-17-123,'amazonEcho' | 'lifxbulb' | 'ringdoorbell' | 'tplinkcamera' | 'tribyspeaker'
ipv4-17-1900,'amazonEcho'
ipv4-17-67,'amazonEcho' | 'awairAirQuality' | 'lifxbulb' | 'nestsmokesensor' | 'pixstarphotoframe' | 'ringdoorbell' | 'tplinkcamera' | 'tribyspeaker' | 'withingssleepsensor'
ipv4-6-80,'amazonEcho' | 'pixstarphotoframe' | 'ringdoorbell' | 'tplinkcamera' | 'tribyspeaker' | 'withingssleepsensor'
ipv4-17-53,'amazonEcho' | 'awairAirQuality' | 'lifxbulb' | 'nestsmokesensor' | 'pixstarphotoframe' | 'ringdoorbell' | 'tplinkcamera' | 'tribyspeaker' | 'withingssleepsensor'
ipv4-17-5353,'amazonEcho' | 'tplinkcamera' | 'tribyspeaker' | 'withingssleepsensor'
ipv4-17-33434,'amazonEcho'
ipv4-17-50000,'amazonEcho'
ipv4-6-8883,'awairAirQuality'
ipv4-17-56700,'lifxbulb'
ipv4-6-56700,'lifxbulb'
ipv4-6-11095,'nestsmokesensor'
ipv4-17-137,'pixstarphotoframe'
ipv4-17-138,'pixstarphotoframe'
ipv4-6-9998,'ringdoorbell'
ipv4-17-80,'tplinkcamera'
ipv4-17-3478,'tplinkcamera'
ipv4-17-1068,'tplinkcamera'
ipv4-6-8080,'tplinkcamera'
ipv4-17-10003,'tribyspeaker'
ipv4-6-8090,'tribyspeaker'
ipv4-17-10002,'tribyspeaker'
ipv4-6-5228,'tribyspeaker'
ipv6-17-5353,'tribyspeaker'
