Device,MUDFlow,TP,FP,TN,FN,Total,Correct_FDCP
awairAirQuality,ipv4-17-67,2,3,0,0,5,dhcp
awairAirQuality,ipv4-17-53,1118,1118,0,0,2236,dns
awairAirQuality,ipv4-6-443,647,0,0,0,647,tls
awairAirQuality,ipv4-6-8883,0,191,2,0,193,none
awairAirQuality,ethernet-0x888e,0,0,0,0,0,none
awairAirQuality,ethernet-0x0006,0,0,0,0,0,cdp
lifxbulb,ipv4-17-123,1117,0,0,10,1127,ntp
lifxbulb,ipv4-17-56700,0,6,162,0,168,none
lifxbulb,ipv4-17-67,2,3,0,0,5,dhcp
lifxbulb,ipv4-17-53,6292,6292,0,0,12584,dns
lifxbulb,ipv4-6-56700,0,147,10,0,157,none
lifxbulb,ipv6-58-*,0,0,0,3,3,icmpv6
lifxbulb,ethernet-0x888e,0,0,0,0,0,none
lifxbulb,ethernet-0x0006,0,0,0,0,0,cdp
pixstarphotoframe,ipv4-17-67,2,3,0,0,5,dhcp
pixstarphotoframe,ipv4-17-137,14,4,0,0,18,nbns
pixstarphotoframe,ipv4-6-80,23,0,0,0,23,http
pixstarphotoframe,ipv4-6-443,1049,2,0,0,1051,tls
pixstarphotoframe,ipv4-17-138,0,7,0,0,7,none
pixstarphotoframe,ipv4-17-53,4842,18,0,0,4860,dns
pixstarphotoframe,ipv6-0-*,0,0,2,0,2,none
pixstarphotoframe,ipv6-58-*,0,0,0,3,3,icmpv6
pixstarphotoframe,ethernet-0x888e,0,0,0,0,0,none
pixstarphotoframe,ethernet-0x0006,0,0,0,0,0,cdp
ringdoorbell,ipv4-17-67,2,3,0,0,5,dhcp
ringdoorbell,ipv4-17-53,486,2,0,0,488,dns
ringdoorbell,ipv4-6-443,103,2,0,0,105,tls
ringdoorbell,ipv4-6-80,3,0,0,0,3,http
ringdoorbell,ipv4-6-9998,0,0,0,0,0,none
ringdoorbell,ipv4-17-123,26,0,0,2,28,ntp
ringdoorbell,ethernet-0x888e,0,0,0,0,0,none
ringdoorbell,ethernet-0x0006,0,0,0,0,0,cdp
tplinkcamera,ipv4-2-*,5,0,0,0,5,igmp
tplinkcamera,ipv4-17-67,2,3,0,0,5,dhcp
tplinkcamera,ipv4-6-443,0,0,0,0,0,tls
tplinkcamera,ipv4-17-123,41,0,0,1,42,ntp
tplinkcamera,ipv4-6-80,3530,0,0,0,3530,http
tplinkcamera,ipv4-17-80,0,0,0,0,0,none
tplinkcamera,ipv4-17-5353,4,1,0,0,5,mdns
tplinkcamera,ipv4-17-3478,916,916,0,449,2281,classic-stun|stun
tplinkcamera,ipv4-17-1068,0,3,3,0,6,none
tplinkcamera,ipv4-17-53,4826,494,0,0,5320,dns
tplinkcamera,ipv4-6-8080,0,6,0,0,6,none
tplinkcamera,ethernet-0x888e,0,0,0,0,0,none
tplinkcamera,ethernet-0x0006,0,0,0,0,0,cdp
tribyspeaker,ipv4-17-10003,0,0,0,0,0,none
tribyspeaker,ipv4-6-8090,0,1,21,0,22,none
tribyspeaker,ipv4-6-80,187,21,0,1,209,http
tribyspeaker,ipv4-17-123,111,0,0,5,116,ntp
tribyspeaker,ipv4-17-67,4,5,0,0,9,dhcp
tribyspeaker,ipv4-17-10002,0,0,0,0,0,none
tribyspeaker,ipv4-17-53,3914,28,0,0,3942,dns
tribyspeaker,ipv4-6-5228,0,77,2,0,79,none
tribyspeaker,ipv4-17-5353,2,0,0,0,2,mdns
tribyspeaker,ipv4-6-443,3612,1,0,1,3614,tls
tribyspeaker,ipv6-58-*,0,0,0,3,3,icmpv6
tribyspeaker,ipv6-17-5353,1,1,0,0,2,mdns
tribyspeaker,ipv6-0-*,0,0,1,0,1,none
tribyspeaker,ethernet-0x0006,0,0,0,0,0,cdp
tribyspeaker,ethernet-0x888e,0,0,0,0,0,none
amazonEcho,ipv4-6-443,10957,49,0,1019,12025,tls
amazonEcho,ipv4-17-123,16293,66,0,566,16925,ntp
amazonEcho,ipv4-2-*,11,0,0,0,11,igmp
amazonEcho,ipv4-17-1900,15,0,0,0,15,ssdp
amazonEcho,ipv4-17-67,16,30,0,0,46,dhcp
amazonEcho,ipv4-1-*,42,5,0,0,47,icmp
amazonEcho,ipv4-6-80,3707,51,0,2,3760,http
amazonEcho,ipv4-17-53,73613,543,0,0,74156,dns
amazonEcho,ipv4-17-5353,9,0,0,0,9,mdns
amazonEcho,ipv4-17-33434,0,145,0,0,145,none
amazonEcho,ipv4-17-50000,0,309,0,0,309,none
amazonEcho,ethernet-0x0006,0,0,0,0,0,cdp
amazonEcho,ethernet-0x888e,0,0,0,0,0,none
nestsmokesensor,ipv4-6-11095,0,4,651,0,655,none
nestsmokesensor,ipv4-17-67,14,10,0,3,27,dhcp
nestsmokesensor,ipv4-17-53,171,1,0,3,175,dns
nestsmokesensor,ipv6-58-*,0,0,0,19,19,icmpv6
nestsmokesensor,ipv6-0-*,0,0,8,0,8,none
nestsmokesensor,ethernet-0x0006,0,0,0,0,0,cdp
nestsmokesensor,ethernet-0x888e,0,0,0,0,0,none
withingssleepsensor,ipv4-6-443,4427,8,0,2,4437,tls
withingssleepsensor,ipv4-17-53,18759,8,0,2,18769,dns
withingssleepsensor,ipv4-2-*,0,0,0,0,0,igmp
withingssleepsensor,ipv4-17-67,7,12,0,0,19,dhcp
withingssleepsensor,ipv4-6-80,15575,3,0,3,15581,http
withingssleepsensor,ipv4-17-5353,6,6,0,0,12,mdns
withingssleepsensor,ethernet-0x888e,0,0,0,0,0,none
